City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
344,Ous,RU,60.9058,61.5186,15.33,89,63,6.49,Clouds
345,Velingara,SN,13.15,-14.1167,104.07,11,92,4.38,Clouds
346,Tuatapere,NZ,-46.1333,167.6833,47.57,87,100,3.74,Clouds
347,Katsuura,JP,35.1333,140.3,48.16,89,100,26.69,Rain
348,Dicamay,PH,16.7561,122.0037,72.25,95,5,2.82,Clear
349,Sibenik,HR,43.7272,15.9058,61.38,75,100,13.0,Clouds
350,Poum,NC,-20.2333,164.0167,80.02,81,13,6.69,Clouds
351,Homocea,RO,46.1333,27.2333,65.46,46,99,14.34,Clouds
352,Santa Maria,BR,-29.6842,-53.8069,63.7,45,20,5.75,Clouds
353,Dalby,AU,-27.1833,151.2667,62.98,94,91,1.01,Clouds
354,Morlaix,FR,48.5833,-4.0,45.07,55,75,18.41,Rain
355,Maldonado,UY,-34.6667,-54.9167,63.79,57,93,14.05,Clouds
356,Zhigansk,RU,66.7697,123.3711,9.41,94,99,16.24,Clouds
